2507,4894,1462.04166666667,53.03,no,judgementExparte
2529,4916,1475.04166666667,160.99,no,judgementExparte
2531,4918,1476.04166666667,62.1,no,judgementExparte
2533,4920,1477.04166666667,104.02,no,judgementExparte
2536,4923,1478.18819444444,43.83,no,judgementExparte
2541,4928,1482.04166666667,58.02,no,judgementExparte
2548,4935,1485.18819444444,226.85,no,judgementExparte
2565,4952,1496.04166666667,142.01,no,judgementExparte
2573,4960,1501.04166666667,228.18,no,judgementExparte
2585,4972,1508.04166666667,41.97,no,judgementExparte
2591,4978,1511.04166666667,158.25,no,judgementExparte
2595,4982,1513.04166666667,38.99,no,judgementExparte
2610,4997,1522.18819444444,91.86,no,judgementExparte
2615,5002,1525.04166666667,112.27,no,judgementExparte
2627,5014,1532.04166666667,100.04,no,judgementExparte
2635,5022,1537.04166666667,102.02,no,judgementExparte
2640,5027,1539.18819444444,123.83,no,judgementExparte
2648,5035,1544.18819444444,77.89,no,judgementExparte
2651,5038,1546.04166666667,124.97,no,judgementExparte
2653,5040,1547.04166666667,90.28,no,judgementExparte
2656,5043,1548.18819444444,107.06,no,judgementExparte
2665,5052,1554.04166666667,132.03,no,judgementExparte
2673,5060,1559.04166666667,188.17,no,judgementExparte
2674,5061,1559.18819444444,87.05,no,judgementExparte
2676,5063,1560.18819444444,160.08,no,judgementExparte
2692,5079,1569.18819444444,90.15,no,judgementExparte
2696,5083,1572.18819444444,101.82,no,judgementExparte
2705,5092,1578.04166666667,98.2,no,judgementExparte
2709,5096,1580.04166666667,130.97,no,judgementExparte
2711,5098,1581.04166666667,152.06,no,judgementExparte
2731,5118,1593.04166666667,57.02,no,judgementExparte
2735,5122,1595.04166666667,53.09,no,judgementExparte
2739,5126,1597.04166666667,130.98,no,judgementExparte
2746,5133,1601.18819444444,207.91,no,judgementExparte
2755,5142,1607.04166666667,93.02,no,judgementExparte
2767,5154,1614.04166666667,107.05,no,judgementExparte
2768,5155,1614.18819444444,35.86,no,judgementExparte
2770,5157,1615.18819444444,43.86,no,judgementExparte
2774,5161,1617.18819444444,40.93,no,judgementExparte
2799,5186,1632.04166666667,62.01,no,judgementExparte
2813,5200,1641.04166666667,94.12,no,judgementExparte
2821,5208,1645.04166666667,108.02,no,judgementExparte
2827,5214,1649.04166666667,37.97,no,judgementExparte
2870,5257,1673.18819444444,124.08,no,judgementExparte
2889,5276,1685.04166666667,38.01,no,judgementExparte
2900,5287,1691.18819444444,124.84,no,judgementExparte
2912,5299,1698.18819444444,107.83,no,judgementExparte
2936,5323,1712.18819444444,78.89,no,judgementExparte
2940,5327,1714.18819444444,110.93,no,judgementExparte
2947,5334,1719.04166666667,87.3,no,judgementExparte
2965,5352,1729.04166666667,45,no,judgementExparte
3011,5398,1756.04166666667,29.12,no,judgementExparte
3073,5460,1792.04166666667,31.08,no,judgementExparte
