id,runtime_id,arrival_day,days_taken,pending,sink_type
2636,5023,1537.188194,120.87,no,Remand
2654,5041,1547.188194,145.81,no,Remand
2666,5053,1554.188194,159.83,no,Remand
2675,5062,1560.041667,127.08,no,Remand
2684,5071,1565.188194,138.89,no,Remand
2686,5073,1566.188194,116.91,no,Remand
2690,5077,1568.188194,138.88,no,Remand
2695,5082,1572.041667,141.18,no,Remand
2701,5088,1575.041667,122.07,no,Remand
2713,5100,1582.041667,134.05,no,Remand
2724,5111,1588.188194,125.01,no,Remand
2755,5142,1607.041667,134.00,no,Remand
2760,5147,1609.188194,139.88,no,Remand
2765,5152,1613.041667,120.01,no,Remand
2767,5154,1614.041667,126.28,no,Remand
2774,5161,1617.188194,136.84,no,Remand
2775,5162,1618.041667,121.99,no,Remand
2783,5170,1623.041667,137.21,no,Remand
2785,5172,1624.041667,130.01,no,Remand
2786,5173,1624.188194,126.89,no,Remand
2802,5189,1634.188194,142.96,no,Remand
2803,5190,1635.041667,125.11,no,Remand
2808,5195,1637.188194,143.91,no,Remand
2815,5202,1642.041667,135.99,no,Remand
2834,5221,1652.188194,128.90,no,Remand
2849,5236,1662.041667,127.99,no,Remand
2850,5237,1662.188194,128.92,no,Remand
2854,5241,1664.188194,130.97,no,Remand
2870,5257,1673.188194,149.96,no,Remand
2900,5287,1691.188194,122.05,no,Remand
2907,5294,1695.041667,128.05,no,Remand
