id,runtime_id,arrival_day,days_taken,pending,sink_type
2683,5070,1565.041667,126.98,no,AllowAppeal
2687,5074,1567.041667,116.07,no,AllowAppeal
2691,5078,1569.041667,124.10,no,AllowAppeal
2710,5097,1580.188194,124.01,no,AllowAppeal
2712,5099,1581.188194,142.02,no,AllowAppeal
2716,5103,1583.188194,142.87,no,AllowAppeal
2723,5110,1588.041667,211.99,no,AllowAppeal
2761,5148,1610.041667,129.25,no,AllowAppeal
2766,5153,1613.188194,120.91,no,AllowAppeal
2777,5164,1620.041667,133.07,no,AllowAppeal
2781,5168,1622.041667,135.01,no,AllowAppeal
2784,5171,1623.188194,138.88,no,AllowAppeal
2798,5185,1631.188194,122.02,no,AllowAppeal
2807,5194,1637.041667,141.98,no,AllowAppeal
2820,5207,1644.188194,143.97,no,AllowAppeal
2830,5217,1650.188194,148.89,no,AllowAppeal
2831,5218,1651.041667,151.11,no,AllowAppeal
2832,5219,1651.188194,145.92,no,AllowAppeal
2841,5228,1657.041667,146.99,no,AllowAppeal
2843,5230,1658.041667,123.30,no,AllowAppeal
2852,5239,1663.188194,110.83,no,AllowAppeal
2859,5246,1667.041667,128.06,no,AllowAppeal
2862,5249,1669.188194,136.87,no,AllowAppeal
2895,5282,1688.041667,108.15,no,AllowAppeal
